t,mC,mF,Energy
0,0.100126991085643,1.00025195263291,0.523329237243304
0.000201531640467553,0.100198617608218,1.00024590482857,0.523319000697638
0.000403063280935107,0.100270246543319,1.0002398563062,0.523308769316933
0.00060459492140266,0.100341877888538,1.00023380706568,0.523298543087047
0.000806126561870214,0.10041351164147,1.00022775710693,0.523288321993882
0.00100765820233777,0.100485147799718,1.00022170642984,0.523278106023372
0.00120918984280532,0.100556786360888,1.00021565503431,0.523267895161495
0.00141072148327287,0.100628427322592,1.00020960292025,0.523257689394266
0.00161225312374043,0.100700070682448,1.00020355008756,0.523247488707739
0.00181378476420798,0.100771716438079,1.00019749653615,0.523237293088004
0.00201531640467553,0.100843364587114,1.0001914422659,0.523227102521193
0.00221684804514309,0.100915015127184,1.00018538727673,0.523216916993475
0.00241837968561064,0.100986668055929,1.00017933156854,0.523206736491057
0.00261991132607819,0.101058323370992,1.00017327514122,0.523196561000185
0.00282144296654575,0.101129981070022,1.00016721799468,0.523186390507143
0.0030229746070133,0.101201641150673,1.00016116012883,0.523176224998253
0.00322450624748085,0.101273303610604,1.00015510154355,0.523166064459875
0.00342603788794841,0.10134496844748,1.00014904223876,0.523155908878408
0.00362756952841596,0.101416635658969,1.00014298221436,0.523145758240287
0.00382910116888351,0.101488305242747,1.00013692147025,0.523135612531988
0.00403063280935107,0.101559977196492,1.00013086000632,0.523125471740022
0.00423216444981862,0.10163165151789,1.00012479782249,0.523115335850939
0.00443369609028618,0.10170332820463,1.00011873491864,0.523105204851327
0.00463522773075373,0.101775007254406,1.0001126712947,0.523095078727812
0.00483675937122128,0.101846688664919,1.00010660695055,0.523084957467056
0.00503829101168884,0.101918372433873,1.00010054188609,0.523074841055761
0.00523982265215639,0.101990058558977,1.00009447610124,0.523064729480665
0.00544135429262394,0.102061747037947,1.00008840959588,0.523054622728543
0.0056428859330915,0.102133437868502,1.00008234236993,0.523044520786209
0.00584441757355905,0.102205131048366,1.00007627442328,0.523034423640513
0.0060459492140266,0.102276826575269,1.00007020575583,0.523024331278343
0.00624748085449416,0.102348524446945,1.0000641363675,0.523014243686624
0.00644901249496171,0.102420224661134,1.00005806625817,0.523004160852318
0.00665054413542926,0.10249192721558,1.00005199542774,0.522994082762426
0.00685207577589682,0.102563632108031,1.00004592387613,0.522984009403982
0.00705360741636437,0.102635339336242,1.00003985160324,0.522973940764062
0.00725513905683192,0.102707048897971,1.00003377860895,0.522963876829775
0.00745667069729948,0.102778760790981,1.00002770489318,0.522953817588269
0.00765820233776703,0.102850475013042,1.00002163045583,0.522943763026728
0.00785973397823458,0.102922191561925,1.00001555529679,0.522933713132373
0.00806126561870214,0.102993910435409,1.00000947941597,0.522923667892461
0.00826279725916969,0.103065631631277,1.00000340281328,0.522913627294289
0.00846432889963724,0.103137355147316,0.9999973254886,0.522903591325186
0.0086658605401048,0.103209080981318,0.999991247441847,0.522893559972519
0.00886739218057235,0.10328080913108,0.999985168672919,0.522883533223695
0.0090689238210399,0.103352539594403,0.999979089181715,0.522873511066152
0.00927045546150746,0.103424272369093,0.999973008968139,0.522863493487369
0.00947198710197501,0.103496007452962,0.99996692803209,0.522853480474858
0.00967351874244256,0.103567744843825,0.999960846373471,0.522843472016169
0.00987505038291012,0.103639484539502,0.999954763992181,0.522833468098889
0.0100765820233777,0.103711226537818,0.999948680888124,0.522823468710639
0.0102781136638452,0.103782970836602,0.999942597061199,0.522813473839077
0.0104796453043128,0.10385471743369,0.999936512511308,0.522803483471899
0.0106811769447803,0.103926466326918,0.999930427238352,0.522793497596834
0.0108827085852479,0.10399821751413,0.999924341242232,0.522783516201649
0.0110842402257154,0.104069970993175,0.999918254522849,0.522773539274146
0.011285771866183,0.104141726761904,0.999912167080105,0.522763566802164
0.0114873035066505,0.104213484818175,0.9999060789139,0.522753598773575
0.0116888351471181,0.104285245159848,0.999899990024136,0.52274363517629
0.0118903667875857,0.10435700778479,0.999893900410713,0.522733675998255
0.0120918984280532,0.104428772690871,0.999887810073533,0.522723721227449
0.0122934300685208,0.104500539875966,0.999881719012497,0.522713770851891
0.0124949617089883,0.104572309337955,0.999875627227506,0.522703824859631
0.0126964933494559,0.104644081074721,0.999869534718461,0.522693883238758
0.0128980249899234,0.104715855084152,0.999863441485262,0.522683945977395
0.013099556630391,0.104787631364142,0.999857347527811,0.522674013063699
0.0133010882708585,0.104859409912586,0.999851252846009,0.522664084485866
0.0135026199113261,0.104931190727388,0.999845157439756,0.522654160232123
0.0137041515517936,0.105002973806453,0.999839061308954,0.522644240290735
0.0139056831922612,0.10507475914769,0.999832964453504,0.522634324650001
0.0141072148327287,0.105146546749016,0.999826866873306,0.522624413298257
0.0143087464731963,0.105218336608348,0.999820768568262,0.52261450622387
0.0145102781136638,0.105290128723611,0.999814669538271,0.522604603415246
0.0147118097541314,0.105361923092731,0.999808569783236,0.522594704860825
0.014913341394599,0.105433719713642,0.999802469303057,0.52258481054908
0.0151148730350665,0.105505518584278,0.999796368097635,0.522574920468521
0.0153164046755341,0.105577319702582,0.999790266166871,0.522565034607691
0.0155179363160016,0.105649123066498,0.999784163510664,0.522555152955169
0.0157194679564692,0.105720928673974,0.999778060128917,0.522545275499569
0.0159209995969367,0.105792736522965,0.999771956021531,0.522535402229539
0.0161225312374043,0.105864546611429,0.999765851188405,0.52252553313376
0.0163240628778718,0.105936358937326,0.99975974562944,0.522515668200951
0.0165255945183394,0.106008173498623,0.999753639344538,0.522505807419862
0.0167271261588069,0.106079990293291,0.999747532333599,0.522495950779278
0.0169286577992745,0.106151809319305,0.999741424596524,0.522486098268022
0.017130189439742,0.106223630574642,0.999735316133214,0.522476249874946
0.0173317210802096,0.106295454057285,0.999729206943568,0.52246640558894
0.0175332527206771,0.106367279765223,0.999723097027489,0.522456565398926
0.0177347843611447,0.106439107696446,0.999716986384875,0.522446729293862
0.0179363160016123,0.106510937848948,0.999710875015629,0.522436897262739
0.0181378476420798,0.106582770220731,0.999704762919651,0.522427069294581
0.0183393792825474,0.106654604809798,0.999698650096842,0.522417245378448
0.0185409109230149,0.106726441614155,0.999692536547101,0.522407425503432
0.0187424425634825,0.106798280631815,0.99968642227033,0.522397609658661
0.01894397420395,0.106870121860794,0.999680307266429,0.522387797833296
0.0191455058444176,0.106941965299112,0.999674191535299,0.522377990016529
0.0193470374848851,0.107013810944792,0.99966807507684,0.522368186197591
0.0195485691253527,0.107085658795863,0.999661957890953,0.522358386365742
0.0197501007658202,0.107157508850357,0.999655839977538,0.522348590510277
0.0199516324062878,0.10722936110631,0.999649721336496,0.522338798620526
0.0201531640467553,0.107301215561762,0.999643601967728,0.522329010685851
0.0203546956872229,0.107373072214757,0.999637481871133,0.522319226695647
0.0205562273276904,0.107444931063343,0.999631361046613,0.522309446639343
0.020757758968158,0.107516792105573,0.999625239494067,0.522299670506403
0.0209592906086256,0.107588655339501,0.999619117213396,0.522289898286321
0.0211608222490931,0.107660520763189,0.999612994204501,0.522280129968626
0.0213623538895607,0.107732388374701,0.999606870467283,0.52227036554288
0.0215638855300282,0.107804258172103,0.99960074600164,0.522260604998679
0.0217654171704958,0.107876130153468,0.999594620807475,0.52225084832565
0.0219669488109633,0.107948004316872,0.999588494884686,0.522241095513454
0.0221684804514309,0.108019880660395,0.999582368233175,0.522231346551786
0.0223700120918984,0.108091759182119,0.999576240852842,0.522221601430372
0.022571543732366,0.108163639880132,0.999570112743587,0.522211860138972
0.0227730753728335,0.108235522752526,0.99956398390531,0.522202122667378
0.0229746070133011,0.108307407797395,0.999557854337912,0.522192389005416
0.0231761386537686,0.108379295012838,0.999551724041293,0.522182659142943
0.0233776702942362,0.108451184396959,0.999545593015354,0.522172933069849
0.0235792019347037,0.108523075947864,0.999539461259994,0.522163210776057
0.0237807335751713,0.108594969663663,0.999533328775114,0.522153492251523
0.0239822652156389,0.108666865542471,0.999527195560614,0.522143777486234
