grid,threads,run_id,success,reason,elapsed_s,relL2_diagnostics,relL2_C,relL2_P,relL2_Inh,relL2_F,run_dir
128,3,1,1,ok,5.813192,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-3threads/run-001
128,3,2,1,ok,5.861082,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-3threads/run-002
128,3,3,1,ok,5.848795,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-3threads/run-003
128,3,4,1,ok,5.820831,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-3threads/run-004
128,3,5,1,ok,5.778486,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-3threads/run-005
128,4,1,1,ok,4.465301,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-4threads/run-001
128,4,2,1,ok,4.478649,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-4threads/run-002
128,4,3,1,ok,4.479874,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-4threads/run-003
128,4,4,1,ok,4.484374,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-4threads/run-004
128,4,5,1,ok,4.477544,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/128x128-4threads/run-005
256,1,1,1,ok,319.976824,inf,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-1threads/run-001
256,2,1,1,ok,161.265259,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-2threads/run-001
256,2,2,1,ok,165.000450,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-2threads/run-002
256,2,3,1,ok,162.075032,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-2threads/run-003
256,2,4,1,ok,161.669307,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-2threads/run-004
256,2,5,1,ok,166.226047,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-2threads/run-005
256,3,1,1,ok,110.765364,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-3threads/run-001
256,3,2,1,ok,111.398506,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-3threads/run-002
256,3,3,1,ok,111.595027,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-3threads/run-003
256,3,4,1,ok,110.139217,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-3threads/run-004
256,3,5,1,ok,110.629245,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-3threads/run-005
256,4,1,1,ok,82.889384,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-4threads/run-001
256,4,2,1,ok,83.376170,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-4threads/run-002
256,4,3,1,ok,90.186565,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-4threads/run-003
256,4,4,1,ok,87.002071,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-4threads/run-004
256,4,5,1,ok,84.016191,,,,,,/home/ccoppola/projects/angio_2d/angio2d_c/output/256x256-4threads/run-005
