grid,best_threads,serial_time_s,best_openmp_time_s,speedup,efficiency_pct
64,4,0.645349,0.219299,2.942781,73.5695
128,4,16.142345,4.478649,3.604289,90.1072
256,4,319.976824,84.016191,3.808514,95.2128
